date,spectral_radius,spectral_gap,mean_correlation,modularity,avg_clustering,avg_degree,regime,sr_exceed_q90,mc_red,mod_breakdown,any_warning
2025-08-11,59.73915538706473,50.6487348046825,0.4620082761564311,0.03468667572199897,0.766772027106841,42.36363636363637,unknown,False,False,False,False
2025-08-12,59.74422158538211,50.699375477301885,0.461788643342216,0.03470111644863344,0.7665782708185425,42.343434343434346,unknown,False,False,False,False
2025-08-13,59.74673307027375,50.991977367815174,0.4602729210106879,0.03383614645853962,0.7432030035378175,42.343434343434346,unknown,False,False,False,False
2025-08-14,59.71160646127869,50.972149365395985,0.45982671037391704,0.03377864101337843,0.7434720971964016,42.36363636363637,unknown,False,False,False,False
2025-08-15,59.63327139506306,50.84745855486725,0.4587740061660697,0.03242259309065854,0.7550503347708017,42.282828282828284,unknown,False,False,False,False
2025-08-18,59.64242591660046,50.965429653529995,0.45790457335926077,0.032119548191226956,0.7134214758934954,42.323232323232325,unknown,False,False,False,False
2025-08-19,59.58649501994199,50.77898539475433,0.45703781607370036,0.031345766660468566,0.7127635970969567,42.24242424242424,unknown,False,False,False,False
2025-08-20,59.58620778829241,50.6988356014495,0.4572964334445131,0.029923307616583857,0.7216921394233985,42.22222222222222,unknown,False,False,False,False
2025-08-21,59.51626667124481,50.10173323522487,0.45861836078699647,0.029339699597944444,0.7192299588545451,42.06060606060606,unknown,False,False,False,False
2025-08-22,59.43103106243916,49.90421475315452,0.4580110515058678,0.03164488323429402,0.709246048382726,42.101010101010104,unknown,False,False,False,False
2025-08-25,59.42737223199366,49.76346407233379,0.4584959717788911,0.031602113992259394,0.7078955824852763,42.121212121212125,unknown,False,False,False,False
2025-08-26,59.44776658815171,49.904297760161604,0.4579810309663523,0.02935220171243397,0.7214116960013898,42.04040404040404,unknown,False,False,False,False
2025-08-27,59.429223591315875,49.87357011530898,0.45803426841050315,0.03199003190380231,0.7190547936444873,42.101010101010104,unknown,False,False,False,False
2025-08-28,59.508159935008464,50.08024007230068,0.45805624900491926,0.030169474259424334,0.7188597321136209,42.08080808080808,unknown,False,False,False,False
2025-08-29,59.506047646022836,50.070308298290556,0.4581495708914029,0.03112697743592883,0.7209503720473981,42.08080808080808,unknown,False,False,False,False
2025-09-01,59.50711899677137,50.11271927699005,0.4580375968485443,0.028516665125739728,0.7121838145660989,42.02020202020202,unknown,False,False,False,False
2025-09-02,59.47782020776867,49.97096897912068,0.45837734151169585,0.028691752958579966,0.7374706449142963,42.02020202020202,unknown,False,False,False,False
2025-09-03,59.484554846386615,50.00672808531111,0.45844580718575,0.027650471132914675,0.7155851230287743,42.0,unknown,False,False,False,False
2025-09-04,59.50951657814274,50.06342376196385,0.4585134992249456,0.027684963979394683,0.6985628729426858,41.97979797979798,unknown,False,False,False,False
2025-09-05,59.48452309393434,49.98570380080446,0.4587795984998623,0.029467455621301864,0.6985628729426858,42.02020202020202,unknown,False,False,False,False
2025-09-08,59.41638691115001,49.784311522597235,0.4584178608291545,0.03297908201045538,0.7153978897777027,42.101010101010104,unknown,False,False,False,False
2025-09-09,59.38733489041324,49.87569050679336,0.4575153157097,0.02960004946638376,0.7108812525258205,41.97979797979798,unknown,False,False,False,False
2025-09-10,59.37055630747564,49.89776887698732,0.4571920717463803,0.027848742990438647,0.7195610635919701,41.95959595959596,unknown,False,False,False,False
2025-09-11,59.14871118803157,49.88417595156169,0.4549165835056609,0.026300347064458898,0.7461844412865293,41.7979797979798,unknown,False,False,False,False
2025-09-12,58.726779321395824,49.86977344928635,0.4512719005171148,0.02671307889486793,0.7271812052684151,41.515151515151516,unknown,False,False,False,False
2025-09-15,58.710618522267595,50.03309429239155,0.4504909760128704,0.026731101152174853,0.7502308422441467,41.535353535353536,unknown,False,False,False,False
2025-09-16,58.66436371245682,49.91152370442995,0.44957149537006136,0.0267766589115621,0.7501534792149707,41.515151515151516,unknown,False,False,False,False
2025-09-17,58.67994318956224,50.116896262550554,0.44926778484411306,0.027640599485664007,0.7437656120161483,41.57575757575758,unknown,False,False,False,False
2025-09-18,58.67468535824629,50.14963438257362,0.4492567703818278,0.02581270920241282,0.7454491136996501,41.55555555555556,unknown,False,False,False,False
2025-09-19,58.62398388207947,50.07274693663332,0.44905021227003283,0.02494420367696343,0.7521061341226756,41.494949494949495,unknown,False,False,False,False
2025-09-22,58.58600065804629,50.03211581426281,0.44874107966262583,0.024933193623054545,0.7521061341226756,41.515151515151516,unknown,False,False,False,False
2025-09-23,58.63805387286071,50.10451481487089,0.4488044921792341,0.02489297718360613,0.7336646019151383,41.535353535353536,unknown,False,False,False,False
2025-09-24,58.62020506707398,50.10159352522247,0.4485764389388252,0.024903949183346076,0.7333922134541695,41.515151515151516,unknown,False,False,False,False
2025-09-25,58.585490380777,50.05812120831703,0.4481556583268209,0.025824104074247893,0.7300252100871661,41.535353535353536,unknown,False,False,False,False
