stock_id,van_sharpe,van_cagr,van_mdd,van_trades,vp_sharpe,vp_cagr,vp_mdd,vp_trades,bh_sharpe,bh_cagr
6274,1.415963867738269,0.6133951324287918,-0.363353281915506,28,1.2066888222109309,0.5018001810296715,-0.38664253380187785,37,1.9772708274706035,1.5289826168741953
3443,0.21978712087970576,-0.21587193664701976,-0.902578769676391,30,-0.2418981724732134,-0.5718457102342323,-0.9806202613154312,35,0.9569160545231135,0.7843446596491939
8358,0.7137925382645322,0.22732455502292592,-0.5373159134986818,36,0.9365225213477943,0.328551009549809,-0.5424204723149841,33,1.4834110858158807,0.8867967128578975
3665,0.7160924509326516,0.3406323162025271,-0.845011829259466,32,0.408100213279437,-0.12690068868978732,-0.9508794112942694,32,1.0459264813169684,1.1720516043257931
2449,0.16664497731014774,-0.05031122480442762,-0.7128580322127405,40,-0.3867721796951559,-0.38256146942454583,-0.8635957986467616,43,0.9762512828082976,0.9532108790883493
2603,-0.6604333913084917,-0.8647305468395887,-0.9985932953485332,24,-0.5818675900086253,-0.7363267144871675,-0.9878396871286387,28,0.8681726714773108,0.07658451154192147
8299,1.504631845459195,0.6051891526909281,-0.34663208089592135,25,1.5295255369494891,0.6147593085581788,-0.35824559886764795,28,1.3509285108967815,0.7452854120912182
3711,0.37362786054848307,0.0682970685958586,-0.5069089676832839,35,0.41387072778464573,0.08238360469225103,-0.4821434222976617,34,1.2955068954262072,0.6732865484063186
3163,1.1674794486794697,0.5393450062532656,-0.27375200367406305,35,1.0230632992640039,0.4320523901011293,-0.4276644850092225,36,1.89593490061563,1.6629834591949026
6770,0.11076448946948142,-0.09904675952580133,-0.5585127592264894,34,0.21754241721632528,-0.04036481701049188,-0.555309481306915,35,0.5491588824735183,0.1620856859471349
3653,0.4530225069892083,0.07180117347235804,-0.765435792756502,36,0.4977034174029238,0.09690731059667068,-0.7918865701668985,37,0.9336722720126299,1.3209123616455485
3324,0.8084237163153419,0.2725918151689688,-0.4479744593655688,34,0.7583348571750974,0.2575190255083999,-0.41444335166807944,36,1.3772590603838881,0.8879447669206888
1519,0.3736541779884112,-0.49272824310183927,-0.9791769066797809,32,0.5742697233614252,-0.2999588529557897,-0.9989440636513351,29,0.9268401934064916,1.4496625347356429
6442,0.8070767439720828,0.3402101127048791,-0.6473704966076959,32,0.7861118823169287,0.34503163933152714,-0.7189343989199283,35,0.911134579962337,2.3965080248947745
8046,-0.3715100352022709,-0.6950911902427663,-0.9925279502466713,31,0.7119232756679961,0.1314674736602499,-0.9232809408153038,31,0.8933053702833962,0.5884371824184806
2357,-0.3073366790782141,-0.24569171737332673,-0.7595423910410339,37,-0.5109733181462628,-0.30702515292838106,-0.7852829047880722,43,0.6691244725516408,0.2745671163146226
2301,-0.30510093309205405,-0.32613656750820763,-0.8498584532421849,36,-0.0961241233861769,-0.2502971344651407,-0.7971130917159783,36,0.7981111583103351,0.35087007708799534
6223,1.1616855034844127,0.46151109823125336,-0.3616587754604794,39,1.2872243512436616,0.5228382829946829,-0.34114651020898623,36,2.367691741469883,2.244173046140954
6805,0.9125735296856672,0.6757399928487682,-0.5505883470570726,24,0.9389717481013617,0.7201014343214833,-0.5521424901134121,23,1.1681783662102034,1.1850319629200499
4931,0.4298029633373162,0.09731540311312159,-0.41780581832123664,31,0.2956029984610264,0.040551414571241784,-0.3954855105744326,32,0.9889951585771288,0.4838183245129579
6781,0.2500908315013781,0.028560961075187796,-0.5480668747062238,29,0.34435005767301885,0.060926382775059684,-0.5798373017360741,27,0.573036968321941,0.17908189521566076
1303,-0.3763017503246214,-0.49049370721620233,-0.9324494510053503,32,-0.45143634247973985,-0.5132816467982542,-0.9338492472173694,39,0.5859735336340955,0.0721578165548089
2059,-0.376936481848541,-0.6245058701638668,-0.9876393335924559,33,0.07922883824367538,-0.28667712480362517,-0.9161763093259099,34,0.9557644888981527,1.0873957703817005
6919,0.3810280322459795,-0.273456395836424,-0.7972398241687182,9,0.6032353025604444,-0.12760436951197152,-0.7951047225225513,9,0.6207497193370112,-0.6629937860753436
3019,0.3198463518649181,0.006325202276741493,-0.5504371827807425,29,0.6529270528742116,0.26853681482604297,-0.5084341255199332,26,0.6919014379559533,0.29640736022988445
2882,-0.06422749154103823,-0.048077751035372374,-0.41639166352975976,32,0.04308202476435649,-0.02461128079880115,-0.35599651344948857,32,0.7353988613405014,0.2318973909709745
6191,-1.0824214089664579,-0.8539001901616516,-0.9981893393770577,40,-0.9631059842555365,-0.8383310487658737,-0.9975431488970525,44,0.8993712119649103,0.4945242709112625
1504,0.10760364838482725,-0.12909073237267177,-0.7777088207191281,27,-0.01759722282207297,-0.19214717933587055,-0.7315320981272682,32,0.7122558030209268,0.2988269220812778
5439,1.617883963889797,0.7759516158368591,-0.3432842060101543,24,1.3204552365250182,0.5693908731614536,-0.35554266109516586,35,1.4910944068870011,0.937211549010434
3211,1.4975189640961641,0.6119348897848405,-0.25583330295881823,26,1.4162020392523937,0.5660715981676501,-0.27391010239167857,28,1.3280325687456094,0.6569750356345556
5274,0.8147476319344649,0.27992237375302653,-0.5811352086768363,35,0.46627719928515293,0.11395936215322089,-0.6194416065070449,38,1.5406369441891175,1.0319447030935658
2881,-0.5066118150726616,-0.20716673282707465,-0.5983961107720346,31,-0.4293238300990121,-0.18659303879584033,-0.572841548358898,27,0.5254839348120944,0.1594572658131459
