year,k,n_days,sigma_daily,sigma_annual,ret_1x_period,ret_levered_actual,ret_naive_compound,drag_empirical,drag_theoretical,abs_error
2019,3.0,240,0.007789323191908625,0.1236516722837884,0.3078870060867571,1.1409796561336174,1.2372302104435566,0.09625055430993923,0.04368496016736401,0.052565594142575216
2020,2.0,242,0.014669480073355638,0.2328707768202994,0.2615737137964911,0.5106927629619289,0.5915682353422709,0.08087547238034198,0.05207686224066391,0.028798610139678077
2020,-1.0,242,0.014669480073355638,0.2328707768202994,0.2615737137964911,-0.24764408416106432,-0.20733922317494202,0.04030486098612229,0.05207686224066391,0.011772001254541614
2020,3.0,242,0.014669480073355638,0.2328707768202994,0.2615737137964911,0.7161830474313158,1.0078806494212764,0.29169760198996064,0.15623058672199172,0.13546701526796892
2021,2.0,242,0.011060979057353454,0.1755875990559053,0.3117414072157261,0.670719614583847,0.7206655194042932,0.04994590482044625,0.029607552365145236,0.020338352455301016
2021,-1.0,242,0.011060979057353454,0.1755875990559053,0.3117414072157261,-0.26006208558925226,-0.23765462117828673,0.022407464410965527,0.029607552365145236,0.007200087954179708
2021,3.0,242,0.011060979057353454,0.1755875990559053,0.3117414072157261,1.0667203019042768,1.2570682097709658,0.19034790786668898,0.0888226570954357,0.10152525077125328
2022,2.0,243,0.013792707976333345,0.2189524512690899,-0.23420897960662712,-0.4401449494895292,-0.4135641130848767,0.026580836404652475,0.046228026776859506,0.01964719037220703
2022,-1.0,243,0.013792707976333345,0.2189524512690899,-0.23420897960662712,0.24675623298240357,0.3058392869197111,0.059083053937307506,0.046228026776859506,0.012855027160448
2022,3.0,243,0.013792707976333345,0.2189524512690899,-0.23420897960662712,-0.6093730522988977,-0.5509126637639752,0.058460388534922525,0.13868408033057852,0.080223691795656
2023,2.0,239,0.008505255243627672,0.13501674127060137,0.23123422608456656,0.4899656749918788,0.5159377194820616,0.025972044490182755,0.017289108655462185,0.00868293583472057
2023,-1.0,239,0.008505255243627672,0.13501674127060137,0.23123422608456656,-0.2018294495653027,-0.18780685363166993,0.014022595933632753,0.017289108655462185,0.0032665127218294322
2023,3.0,239,0.008505255243627672,0.13501674127060137,0.23123422608456656,0.7723608293955606,0.8664744048388988,0.0941135754433382,0.05186732596638656,0.042246249476951644
2024,2.0,240,0.015532097233022556,0.24656439970711277,0.5592981590880786,1.2900907333680225,1.4314107489354706,0.1413200155674481,0.05789905066945607,0.08342096489799204
2024,-1.0,240,0.015532097233022556,0.24656439970711277,0.5592981590880786,-0.39521968540027896,-0.35868583300013124,0.036533852400147726,0.05789905066945607,0.02136519826930834
2024,3.0,240,0.015532097233022556,0.24656439970711277,0.5592981590880786,2.1610131545727276,2.791294304802046,0.6302811502293184,0.17369715200836822,0.4565839982209502
2025,2.0,216,0.016290945128982576,0.25861073660092176,0.2925575696841307,0.5761481087203919,0.6707050709477465,0.09455696222735455,0.057325296930232555,0.03723166529712199
2025,-1.0,216,0.016290945128982576,0.25861073660092176,0.2925575696841307,-0.26960779395712997,-0.22634006913566307,0.0432677248214669,0.057325296930232555,0.014057572108765654
2025,3.0,216,0.016290945128982576,0.25861073660092176,0.2925575696841307,0.8091051568854584,1.1594824861631725,0.35037732927771414,0.17197589079069767,0.17840143848701648
