N,trial,sum_abs_f,max_abs_f,n_active,mean_f,lam
100,20,30.48237377391018,1.3052172537966114,98,0.060498372256745085,0.21307352279975753
100,21,27.983398239849503,1.310323884243554,95,0.05168962628297555,0.22021385117742695
100,22,30.238328588791425,1.3020860390240143,94,0.04318124999625218,0.2201203396816691
100,23,27.907325380137642,1.330252946054289,99,0.054605937746834636,0.2279748534825359
100,24,28.072853469607317,1.219364780626743,96,0.034428587303433456,0.2208281392906567
100,25,31.267471466976524,1.2100128142448978,99,0.051252990994225874,0.20974819974582742
100,26,28.958970706462186,1.1950648016066296,96,0.0337075295407149,0.21135769578949162
100,27,31.388607739253082,1.3164368936413153,98,0.05406719572028284,0.22677126213233673
100,28,30.55504525125209,1.324518135598032,95,0.062292636103834224,0.2118166663448737
100,29,29.11102186466545,1.0449699867981475,96,0.052890807900189095,0.21423388760163292
150,0,43.03438611275375,1.3391366689993658,145,0.03788441162468516,0.22517479412138133
150,1,39.31816439860661,1.3011093204035913,144,0.03903579816524385,0.22042624820278206
150,2,42.722766824471265,1.1655282824300728,148,0.03325442671857742,0.2221597372908885
150,3,42.75243419185996,1.3330425911368675,148,0.03988631380089077,0.21663626660288873
150,4,44.10196517773713,1.34668861335545,147,0.04117421209625328,0.2115124678240567
150,5,47.04118121535115,1.243331827031527,147,0.035256506014743706,0.21466766439951204
150,6,41.388648908939366,1.3266376083977354,144,0.03181248277661885,0.22043126725033654
150,7,43.8027038545927,1.2226405123507162,146,0.043858791142011085,0.21589950392670876
150,8,41.485703181393305,1.1096384580585335,146,0.034038485479333566,0.21643256767636335
150,9,45.093888111021826,1.2094715562768996,147,0.03385450300516497,0.21820272518764786
150,10,42.69474739703966,1.182730782596594,145,0.03795974587702859,0.22295450727103894
150,11,42.096963206630335,1.2201802187024129,143,0.03462226504589445,0.2195037736279292
150,12,43.52961292018287,1.3049227920509194,146,0.04372702426297512,0.21738444931896359
150,13,42.44664392392115,1.3054238953135193,150,0.03594103735666125,0.22744550335561495
150,14,42.936038912137896,1.3119004578506468,147,0.03159920780894525,0.2247814538083525
150,15,44.12052663656418,1.2968711151293217,148,0.04708258255644739,0.2166311774432196
150,16,44.00871466164031,1.3014638662906344,148,0.04131581521896342,0.22100928911818538
150,17,45.61357735253917,1.3302622401173427,146,0.04152106821686489,0.21904595638793112
150,18,43.35649069216083,1.3080850224297513,146,0.03683567585329341,0.21986750391759322
150,19,42.96192261580909,1.3169143958790759,147,0.040324656251405064,0.22078323735883884
150,20,39.73616177365727,1.288320693619546,145,0.043356323675204936,0.22374354923595338
150,21,43.779165451619704,1.1409361830158156,147,0.034342692120390164,0.22059171419951595
150,22,42.96188281353583,1.3246195165354915,145,0.043982478426999004,0.21634395973386267
