date,n_nodes,n_edges,density,n_triangles,n_4cliques,avg_clustering,transitivity,triangles_per_node,panic,pre_panic,normal
2021-02-17,80,137,0.04335443037974684,78,11,0.3325423881673882,0.2988505747126437,0.975,0,0,1
2021-02-24,80,152,0.04810126582278481,94,14,0.314852577977578,0.29042224510813597,1.175,0,0,1
2021-03-04,80,181,0.05727848101265823,161,30,0.3532998112998113,0.33918539325842695,2.0125,0,0,1
2021-03-11,80,177,0.0560126582278481,139,28,0.37745412675559736,0.30327272727272725,1.7375,0,0,1
2021-03-18,80,207,0.06550632911392405,224,41,0.36703247786355375,0.35993572576325655,2.8,0,0,1
2021-03-25,80,169,0.05348101265822785,125,22,0.29658532761957684,0.30838815789473684,1.5625,0,0,1
2021-04-01,80,158,0.05,125,19,0.26426150883000726,0.32894736842105265,1.5625,0,0,1
2021-04-12,80,147,0.04651898734177215,106,18,0.2825905235115761,0.3271604938271605,1.325,0,0,1
2021-04-19,80,141,0.044620253164556964,101,12,0.23603599831541006,0.3374164810690423,1.2625,0,0,1
2021-04-26,80,133,0.04208860759493671,94,12,0.2924471974104327,0.36623376623376624,1.175,0,0,1
2021-05-04,80,120,0.0379746835443038,82,14,0.26395359026937976,0.34214186369958277,1.025,0,0,1
2021-05-11,80,138,0.043670886075949364,103,17,0.2879243672993673,0.35354691075514877,1.2875,0,0,1
2021-05-18,80,363,0.11487341772151899,769,139,0.411098014425876,0.42556723851687883,9.6125,0,0,1
2021-05-25,80,542,0.17151898734177215,1971,178,0.5227461466876788,0.51141670991178,24.6375,0,0,1
2021-06-01,80,615,0.19462025316455697,2711,226,0.5480289790010431,0.5569403547216325,33.8875,0,0,1
2021-06-08,80,592,0.18734177215189873,2564,219,0.5591653932873066,0.5596216806111313,32.05,0,0,1
2021-06-16,80,538,0.17025316455696202,2136,222,0.5495542264472868,0.5415363813065157,26.7,0,0,1
2021-06-23,80,529,0.16740506329113924,2141,233,0.5495877858522451,0.5472903885480572,26.7625,0,0,1
