expr,ic_mean_is,ic_ir_is,n_days_is,valid_frac_is,abs_ic,abs_ir
"delta(ts_std(close, 20), 10)",-0.001361110852575657,-0.008532704583268522,956,1.0,0.001361110852575657,0.008532704583268522
"delta(ts_std(low, 10), 10)",0.003667524136978553,0.022772100134996257,961,1.0,0.003667524136978553,0.022772100134996257
"ts_rank(ts_std(low, 20), 10)",0.0013726796705155052,0.010100292872980901,958,0.9958419958419958,0.0013726796705155052,0.010100292872980901
"ts_rank(ts_std(low, 10), 20)",-0.005385579494750425,-0.035847934525314255,962,1.0,0.005385579494750425,0.035847934525314255
"ts_std(ts_std(amount, 5), 20)",-0.008299502843271338,-0.04935767127361934,965,1.0,0.008299502843271338,0.04935767127361934
"ts_mean(ts_std(ret, 20), 5)",0.011334177795839718,0.043915948375977426,965,1.0,0.011334177795839718,0.043915948375977426
"log(ts_mean(ret, 20))",0.006354210668768367,0.03080719728143499,903,1.0,0.006354210668768367,0.03080719728143499
"ts_std(ts_mean(open, 10), 5)",0.005496866870955274,0.02482301653729881,970,1.0,0.005496866870955274,0.02482301653729881
"delta(ts_std(amount, 10), 1)",0.003671850851845433,0.02967834863992959,970,1.0,0.003671850851845433,0.02967834863992959
"zscore_xs(ts_std(volume, 20))",-0.002987109504159951,-0.017340235452615232,966,1.0,0.002987109504159951,0.017340235452615232
"ts_mean(zscore_xs(close), 20)",-0.008041150211831825,-0.03738748091139875,966,1.0,0.008041150211831825,0.03738748091139875
"delta(delta(volume, 1), 1)",-0.004461667056497296,-0.032778408187620484,973,1.0,0.004461667056497296,0.032778408187620484
"log(ts_rank(high, 20))",-0.013880511578915344,-0.07365841374902998,966,1.0,0.013880511578915344,0.07365841374902998
"ts_std(ts_std(high, 10), 10)",-0.002296428961225158,-0.01062011714699192,967,1.0,0.002296428961225158,0.01062011714699192
log(zscore_xs(open)),0.0031418072035087016,0.012661569514501711,972,1.0,0.0031418072035087016,0.012661569514501711
"delta(delta(close, 5), 1)",-0.02063239592598283,-0.11622011150577276,969,1.0,0.02063239592598283,0.11622011150577276
"log(ts_mean(open, 5))",-0.007277893696374508,-0.03403690496089237,974,1.0,0.007277893696374508,0.03403690496089237
"ts_rank(ts_std(volume, 5), 20)",0.007638776889297524,0.06029159906268637,965,1.0,0.007638776889297524,0.06029159906268637
"delta(ts_rank(amount, 10), 10)",-0.010501105829477423,-0.07465786636902919,961,1.0,0.010501105829477423,0.07465786636902919
"ts_rank(ts_mean(amount, 10), 20)",0.001185289559103883,0.008009311802226526,962,1.0,0.001185289559103883,0.008009311802226526
"ts_mean(ts_rank(ret, 20), 10)",0.002828933271786344,0.01788613365389566,962,1.0,0.002828933271786344,0.01788613365389566
"delta(amount, 1)",-0.009815412573593677,-0.06644495393706554,974,1.0,0.009815412573593677,0.06644495393706554
"ts_mean(delta(ret, 10), 10)",0.00969696149252063,0.055836645548438556,961,1.0,0.00969696149252063,0.055836645548438556
"ts_rank(ts_std(open, 5), 20)",-0.0006219503518455773,-0.004289799087875619,964,0.9989637305699481,0.0006219503518455773,0.004289799087875619
"log(delta(open, 5))",-0.007708163305489502,-0.03292119079544485,856,1.0,0.007708163305489502,0.03292119079544485
"zscore_xs(ts_mean(volume, 5))",0.0021203842627501254,0.012227434691399487,974,1.0,0.0021203842627501254,0.012227434691399487
"zscore_xs(ts_std(close, 20))",0.0012520224755198006,0.005467794850058948,966,1.0,0.0012520224755198006,0.005467794850058948
"ts_rank(ts_std(high, 10), 20)",-0.002808047704699572,-0.019338746642507048,962,1.0,0.002808047704699572,0.019338746642507048
"ts_std(ts_std(ret, 20), 20)",0.004578386929582664,0.026266259305695042,957,1.0,0.004578386929582664,0.026266259305695042
"ts_mean(delta(low, 5), 5)",-0.01911449514506637,-0.0933699859747334,969,1.0,0.01911449514506637,0.0933699859747334
"ts_rank(delta(ret, 10), 10)",-0.01498062627466546,-0.1062044625947741,961,1.0,0.01498062627466546,0.1062044625947741
"ts_std(ts_mean(open, 5), 10)",0.0027092608384811003,0.012064585072022191,970,1.0,0.0027092608384811003,0.012064585072022191
"ts_rank(zscore_xs(high), 10)",-0.007207195641119191,-0.03985134519519389,968,0.9969104016477858,0.007207195641119191,0.03985134519519389
"ts_std(ts_mean(ret, 5), 10)",0.01796897867617752,0.08347792870304566,970,1.0,0.01796897867617752,0.08347792870304566
"ts_rank(ts_std(amount, 10), 20)",-0.0036295864835380704,-0.026356114587871793,962,1.0,0.0036295864835380704,0.026356114587871793
"ts_rank(log(amount), 10)",-0.008068093750330976,-0.054809725970996565,971,1.0,0.008068093750330976,0.054809725970996565
"ts_mean(ts_mean(low, 5), 5)",-0.007224002489739259,-0.0337305116535102,973,1.0,0.007224002489739259,0.0337305116535102
"ts_mean(ts_mean(close, 20), 5)",-0.008007483016650897,-0.03719520686132201,965,1.0,0.008007483016650897,0.03719520686132201
"delta(ts_rank(open, 20), 10)",-0.0018069084337046374,-0.011214411138500253,956,1.0,0.0018069084337046374,0.011214411138500253
"ts_std(log(open), 10)",0.010427846230445074,0.04786153907237899,971,1.0,0.010427846230445074,0.04786153907237899
"zscore_xs(delta(close, 1))",-0.030352983646435714,-0.16463523239650416,974,1.0,0.030352983646435714,0.16463523239650416
"ts_std(delta(close, 5), 20)",0.0002279456734672928,0.0009910684676892707,961,1.0,0.0002279456734672928,0.0009910684676892707
"ts_rank(ts_std(high, 5), 10)",0.0032455186185765357,0.023580336059900737,970,1.0,0.0032455186185765357,0.023580336059900737
"ts_rank(ts_std(high, 10), 10)",-0.00032376001184904245,-0.002331820584637796,967,1.0,0.00032376001184904245,0.002331820584637796
"ts_rank(ts_std(high, 20), 10)",0.0004580380821155698,0.0033249143069556987,962,1.0,0.0004580380821155698,0.0033249143069556987
"ts_std(zscore_xs(low), 20)",-0.00435915448217756,-0.02524244600749565,966,1.0,0.00435915448217756,0.02524244600749565
"delta(ts_std(low, 10), 5)",-0.003597544745612835,-0.022703906048137653,966,1.0,0.003597544745612835,0.022703906048137653
"delta(ts_mean(close, 10), 5)",-0.012062818359832903,-0.05922988179811912,966,1.0,0.012062818359832903,0.05922988179811912
"log(ts_rank(open, 20))",-0.01400488694434461,-0.07374939588266202,964,0.9979296066252588,0.01400488694434461,0.07374939588266202
"zscore_xs(ts_std(open, 20))",0.0011971685458171306,0.005217845320694664,966,1.0,0.0011971685458171306,0.005217845320694664
"delta(zscore_xs(high), 10)",-0.009081353983491556,-0.047375886001976515,965,1.0,0.009081353983491556,0.047375886001976515
"ts_rank(ts_rank(low, 20), 20)",-0.015377362887874677,-0.09451839923844274,957,1.0,0.015377362887874677,0.09451839923844274
