N,rep,lambda,sum_abs_f_reg,sum_abs_f_un,max_abs_f_reg,n_active_reg_5pct,n_active_reg_2pct
30,5,0.11337324605540518,13.056078952541073,23.009323871196987,1.1328575662355453,29,30
30,6,0.11337324605540518,9.643697959166904,21.706412403383293,1.2042037005794513,28,30
30,7,0.11337324605540518,10.27727539269388,16.4550398755485,0.9293729551649093,30,30
30,8,0.11337324605540518,13.432528259822849,28.724470105344263,1.245945026023815,27,29
30,9,0.11337324605540518,10.640023805784837,21.581238244691658,1.058991213115783,27,30
30,10,0.11337324605540518,11.348961819108872,19.241775763738257,1.1996861338752032,27,29
30,11,0.11337324605540518,12.535710290672831,28.688672602287227,1.1244888618336983,28,29
30,12,0.11337324605540518,13.348686799423238,22.886004545877164,1.197101705951138,28,28
30,13,0.11337324605540518,12.395184963557536,20.37983309552571,1.4065210503929217,26,27
30,14,0.11337324605540518,13.385278590919457,28.250010583818863,1.22542766987511,27,29
30,15,0.11337324605540518,10.246587942438927,18.0958151875668,1.176673863398648,24,27
30,16,0.11337324605540518,11.088367090488978,21.06153763671891,1.2407566988672374,29,30
30,17,0.11337324605540518,11.65883550157431,24.358332698842027,1.1243030694891172,28,29
30,18,0.11337324605540518,13.490248357171772,22.928671518589933,1.2516960012488023,28,29
30,19,0.11337324605540518,12.612950729423565,23.837488925533435,1.1732245938849342,28,29
30,20,0.11337324605540518,12.401681789083181,22.343511990895173,1.2699326141710865,28,29
30,21,0.11337324605540518,13.172953264083956,22.7331440506314,1.360199482375611,25,27
30,22,0.11337324605540518,12.90597217190918,24.403397930642946,1.0802931562575788,29,30
30,23,0.11337324605540518,13.664165730134052,25.70060603190717,1.2305623234649625,28,29
30,24,0.11337324605540518,14.104031372745386,24.89642360235265,1.364779806144357,26,28
30,25,0.11337324605540518,14.991344215256516,24.062819217449828,1.0962280238694755,30,30
30,26,0.11337324605540518,13.508944512118385,22.93668744210339,1.1235650136661506,25,30
30,27,0.11337324605540518,10.57350252008081,23.258786860421324,1.1848589960690459,25,28
30,28,0.11337324605540518,11.902301393781622,23.912572304364698,1.1458349327325468,24,28
30,29,0.11337324605540518,11.843564959585759,22.31582579394005,1.116591386571464,28,29
50,0,0.07824046010856292,21.185666880238443,44.24611159191626,1.5673316159852972,45,47
50,1,0.07824046010856292,20.55192888739653,33.08269799381064,1.184613688609124,46,48
50,2,0.07824046010856292,19.762536762985622,30.01082130363341,1.392072243878082,45,48
50,3,0.07824046010856292,21.209969964659244,34.44406880869823,1.3607994807673225,50,50
50,4,0.07824046010856292,18.968872913285377,33.0422599476189,1.1753566436414342,48,49
50,5,0.07824046010856292,24.97399844732405,47.808909431556444,1.5532419963463282,45,49
50,6,0.07824046010856292,24.08876291284046,43.51654578595335,1.3208215309551252,45,47
50,7,0.07824046010856292,23.02732251428054,40.184021841757286,1.3700946695681682,50,50
50,8,0.07824046010856292,24.24909486088518,42.63187162689827,1.3362391989618656,45,48
50,9,0.07824046010856292,22.8227466362718,42.97241396366706,1.3707754107540517,46,50
50,10,0.07824046010856292,25.32994866915927,44.1207135908786,1.372655593339998,47,50
50,11,0.07824046010856292,23.48092549659246,49.7204413131497,1.7223719401557593,45,48
50,12,0.07824046010856292,23.057568916174493,49.123710878439354,1.3769094565312472,48,50
50,13,0.07824046010856292,20.982202381691714,37.246499159965474,1.4317924158924047,46,47
50,14,0.07824046010856292,21.35622276515831,38.902426127732454,1.4040593766171878,46,47
50,15,0.07824046010856292,21.166639268200786,33.575345105641155,1.346515442281177,49,50
50,16,0.07824046010856292,21.902597014356733,41.3560055123673,1.4920504025655545,46,48
50,17,0.07824046010856292,20.40025126123232,37.230868591006995,1.1001900176508805,45,49
50,18,0.07824046010856292,23.1874339350814,44.34744992054621,1.5824499407502217,45,48
50,19,0.07824046010856292,26.07924819370698,43.01007430673785,1.5713419349356443,48,50
50,20,0.07824046010856292,25.75303064120929,44.48391595808356,1.5335402627614654,48,49
50,21,0.07824046010856292,20.911314653279856,39.84800978561783,1.6541516082904444,43,50
